"PVWatts: Hourly PV Performance Data"
"Requested Location:","toulouse"
"Location:","MONTPELLIER, FRANCE"
"Lat (deg N):","43.58"
"Lng (deg E):","3.97"
"Elev (m):","6"
"DC System Size (kW):","8.505"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","0"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","2.7","3.1","0","2.7","0","0"
"1","1","1","0","0","4.1","2.7","0","4.1","0","0"
"1","1","2","0","0","4.8","2.4","0","4.8","0","0"
"1","1","3","0","0","4.9","2","0","4.9","0","0"
"1","1","4","0","0","4.5","1","0","4.5","0","0"
"1","1","5","0","0","3.9","2","0","3.9","0","0"
"1","1","6","0","0","2.4","2.1","0","2.4","0","0"
"1","1","7","0","0","1","1","0","1","0","0"
"1","1","8","0","10","0","1","10","-2.502","82.597","37.706"
"1","1","9","300","37","2","1","86.789","2.248","548.631","494.714"
"1","1","10","367","97","5","0","200.291","11.511","1398.27","1325.457"
"1","1","11","487","115","9","1","290.275","17.153","2033.425","1944.425"
"1","1","12","483","141","10","3.1","332.117","17.04","2371.575","2273.237"
"1","1","13","474","138","11","2","321.101","18.985","2265.922","2170.555"
"1","1","14","455","105","12","1","256.227","19.659","1752.963","1671.328"
"1","1","15","297","82","11.2","1","152.6","15.167","1030.165","965.926"
"1","1","16","24","38","8","3","40.628","7.576","310.543","261.356"
"1","1","17","0","1","5","3","1","3.229","8.063","0"
"1","1","18","0","0","4","4.1","0","4","0","0"
"1","1","19","0","0","3","3","0","3","0","0"
"1","1","20","0","0","2.6","3","0","2.6","0","0"
"1","1","21","0","0","2.2","3.1","0","2.2","0","0"
