PVWatts: Hourly PV Performance Data;;;;;;;;;;
Requested Location:;montpelleir, france;;;;;;;;;
Location:;MONTPELLIER, FRANCE;;;;;;;;;
Lat (deg N):;43.58;;;;;;;;;
Lng (deg E):;3.97;;;;;;;;;
Elev (m):;6;;;;;;;;;
DC System Size (kW):;8.505;;;;;;;;;
Module Type:;Premium;;;;;;;;;
Array Type:;Fixed (open rack);;;;;;;;;
Array Tilt (deg):;0;;;;;;;;;
Array Azimuth (deg):;180;;;;;;;;;
System Losses:;14.08;;;;;;;;;
Invert Efficiency:;96;;;;;;;;;
DC to AC Size Ratio:;1.2;;;;;;;;;
;;;;;;;;;;
Month;Day;Hour;Beam Irradiance (W/m^2);Diffuse Irradiance (W/m^2);Ambient Temperature (C);Wind Speed (m/s);Plane of Array Irradiance (W/m^2);Cell Temperature (C);DC Array Output (W);AC System Output (W)
1;1;0;0;0;2.7;3.1;0;2.7;0;0
1;1;1;0;0;4.1;2.7;0;4.1;0;0
1;1;2;0;0;4.8;2.4;0;4.8;0;0
1;1;3;0;0;4.9;2;0;4.9;0;0
1;1;4;0;0;4.5;1;0;4.5;0;0
1;1;5;0;0;3.9;2;0;3.9;0;0
1;1;6;0;0;2.4;2.1;0;2.4;0;0
1;1;7;0;0;1;1;0;1;0;0
1;1;8;0;10;0;1;10;-2.502;80.109;35.263
1;1;9;300;37;2;1;86.789;2.248;548.514;494.6
1;1;10;367;97;5;0;200.291;11.511;1399.94;1327.087
1;1;11;487;115;9;1;290.275;17.153;2044.772;1955.467
1;1;12;483;141;10;3.1;332.117;17.04;2377.706;2279.194
1;1;13;474;138;11;2;321.101;18.985;2277.713;2182.017
1;1;14;455;105;12;1;256.227;19.659;1770.177;1688.1
1;1;15;297;82;11.2;1;152.6;15.167;1035.538;971.179
1;1;16;24;38;8;3;40.628;7.576;304.906;255.828
1;1;17;0;1;5;3;1;3.229;7.864;0
1;1;18;0;0;4;4.1;0;4;0;0
1;1;19;0;0;3;3;0;3;0;0
1;1;20;0;0;2.6;3;0;2.6;0;0
1;1;21;0;0;2.2;3.1;0;2.2;0;0
1;1;22;0;0;1.7;2.8;0;1.7;0;0
1;1;23;0;0;1.2;2.4;0;1.2;0;0
1;2;0;0;0;0.7;2.1;0;0.7;0;0
1;2;1;0;0;0.4;2.1;0;0.4;0;0
1;2;2;0;0;0.1;2.1;0;0.1;0;0
1;2;3;0;0;-0.2;2.1;0;-0.2;0;0
1;2;4;0;0;-1;3;0;-1;0;0
1;2;5;0;0;-2;1;0;-2;0;0
1;2;6;0;0;-1.4;0;0;-1.4;0;0
1;2;7;0;0;-3;2;0;-3;0;0
1;2;8;0;10;-3;1;10;-5.559;80.891;36.03
1;2;9;305;36;0.8;2.1;86.663;1.063;547.346;493.455
1;2;10;304;114;4;1;199.707;8.584;1432.29;1358.655
1;2;11;305;160;6;1;270.034;13.527;1967.388;1880.153
1;2;12;148;190;8;1;248.745;15.19;1844.253;1760.259
1;2;13;322;167;9;0;291.897;20.768;2085.365;1994.963
1;2;14;432;109;9;1;253.403;16.45;1776.283;1694.049
1;2;15;262;92;10;1;154.841;14.021;1070.974;1005.814
1;2;16;28;39;8;1;42.129;7.654;314.713;265.445
1;2;17;0;1;5;0;1;1.188;7.917;0
1;2;18;0;0;4;2.1;0;4;0;0
1;2;19;0;0;4;3;0;4;0;0
1;2;20;0;0;4;3;0;4;0;0
1;2;21;0;0;7;4.1;0;7;0;0
1;2;22;0;0;6.3;3.4;0;6.3;0;0
1;2;23;0;0;5.5;2.8;0;5.5;0;0
1;3;0;0;0;4.8;2.1;0;4.8;0;0
1;3;1;0;0;3.9;1.7;0;3.9;0;0
1;3;2;0;0;3;1.4;0;3;0;0
1;3;3;0;0;2.1;1;0;2.1;0;0
1;3;4;0;0;1;1;0;1;0;0
1;3;5;0;0;1;1;0;1;0;0
1;3;6;0;0;1.6;3.1;0;1.6;0;0
1;3;7;0;0;1;2;0;1;0;0
1;3;8;0;10;1;1;10;-1.504;79.854;35.012
1;3;9;127;54;4.3;2.1;75.129;4.267;531.565;477.996
1;3;10;156;115;7;1;159.076;10.157;1166.307;1098.967
1;3;11;106;161;10;1;199.345;14.971;1478.509;1403.748
1;3;12;34;168;11;1;181.541;15.608;1362.04;1290.098
1;3;13;33;162;12;2;174.856;15.464;1312.188;1241.433
1;3;14;16;135;11;3;140.38;13.138;1063.551;998.56
1;3;15;0;84;11.3;3.1;84;11.948;641.87;586.034
1;3;16;0;23;10;0;23;8.027;178.057;131.394
1;3;17;0;1;8;0;1;4.007;7.844;0
1;3;18;0;0;6;0;0;6;0;0
1;3;19;0;0;6;1;0;6;0;0
1;3;20;0;0;5;1;0;5;0;0
1;3;21;0;0;4;2;0;4;0;0
1;3;22;0;0;3;2;0;3;0;0
1;3;23;0;0;3;2;0;3;0;0
1;4;0;0;0;2.6;4.1;0;2.6;0;0
1;4;1;0;0;4;2;0;4;0;0
1;4;2;0;0;3.8;2;0;3.8;0;0
1;4;3;0;0;3.7;2.1;0;3.7;0;0
1;4;4;0;0;2;2;0;2;0;0
1;4;5;0;0;1;0;0;1;0;0
1;4;6;0;0;0.8;1;0;0.8;0;0
1;4;7;0;0;0.4;1.5;0;0.4;0;0
1;4;8;0;10;0;2;10;-1.993;79.979;35.135
1;4;9;40;58;3.3;1;64.67;2.79;491.184;438.431
1;4;10;97;122;6;2;149.477;8.294;1120.869;1054.573
1;4;11;121;172;10;1;215.904;15.461;1597.093;1519.403
1;4;12;112;203;13;2;247.772;18.587;1824.705;1741.219
1;4;13;115;177;13;1.5;222.012;18.483;1631.206;1552.662
1;4;14;45;146;13;1;161.228;17.072;1197.444;1129.382
1;4;15;0;85;13.4;0;85;15.89;640.943;585.126
1;4;16;0;24;13.2;1;24;11.941;183.396;136.633
1;4;17;0;1;12.9;2.1;1;10.995;7.666;0
1;4;18;0;0;12.7;3.1;0;12.7;0;0
1;4;19;0;0;13;3;0;13;0;0
1;4;20;0;0;12;4.1;0;12;0;0
1;4;21;0;0;12;6.2;0;12;0;0
1;4;22;0;0;12;7.2;0;12;0;0
1;4;23;0;0;11;2;0;11;0;0
1;5;0;0;0;12;5.1;0;12;0;0
1;5;1;0;0;11.8;4.8;0;11.8;0;0
1;5;2;0;0;11.7;4.4;0;11.7;0;0
1;5;3;0;0;11.5;4.1;0;11.5;0;0
1;5;4;0;0;13;9.7;0;13;0;0
1;5;5;0;0;12;8.2;0;12;0;0
1;5;6;0;0;12.3;3.1;0;12.3;0;0
1;5;7;0;0;12;3;0;12;0;0
1;5;8;0;5;11;4.1;5;9.518;38.517;0
1;5;9;0;47;13.8;5.1;47;13.367;357.436;307.337
1;5;10;7;107;15;8.7;108.989;15.626;820.086;760.475
1;5;11;14;153;17;7.2;158.097;18.569;1177.503;1109.903
1;5;12;35;168;17.1;8.2;182.047;18.937;1350.31;1278.648
1;5;13;123;175;18;8.2;223.38;20.472;1628.539;1550.062
1;5;14;134;163;18;9.7;208.642;20.046;1511.836;1436.258
1;5;15;121;109;17.4;9.8;138.87;18.505;991.268;927.901
1;5;16;18;41;15;6.1;43.144;14.74;319.034;269.682
1;5;17;0;2;14;4.1;2;12.586;15.25;0
1;5;18;0;0;10.9;4.1;0;10.9;0;0
1;5;19;0;0;10;1;0;10;0;0
1;5;20;0;0;8;4.1;0;8;0;0
1;5;21;0;0;8.4;3.1;0;8.4;0;0
1;5;22;0;0;8;3;0;8;0;0
1;5;23;0;0;8;2;0;8;0;0
1;6;0;0;0;8.3;3.1;0;8.3;0;0
1;6;1;0;0;8;2;0;8;0;0
1;6;2;0;0;7.1;3.1;0;7.1;0;0
1;6;3;0;0;6.2;4.1;0;6.2;0;0
1;6;4;0;0;6;3;0;6;0;0
1;6;5;0;0;7;4.1;0;7;0;0
1;6;6;0;0;7.2;4.1;0;7.2;0;0
1;6;7;0;0;7;4.1;0;7;0;0
1;6;8;0;10;7;0;10;3.181;78.655;33.836
1;6;9;240;47;8.2;2.1;87.283;8.554;567.862;513.552
1;6;10;359;99;12;1;201.343;16.657;1387.886;1315.323
1;6;11;478;119;12.9;1.5;293.664;20.289;2053.13;1963.599
1;6;12;475;146;13.8;2.1;337.448;21.95;2382.448;2283.802
1;6;13;472;128;14;3;314.619;20.812;2219.921;2125.833
1;6;14;196;154;13.1;3.5;221.215;17.344;1602.361;1524.539
1;6;15;1;87;12.2;4.1;87.249;13.018;663.923;607.628
1;6;16;0;26;11;4.1;26;10.166;199.859;152.786
1;6;17;0;1;10;0;1;6.137;7.79;0
1;6;18;0;0;9.6;4.1;0;9.6;0;0
1;6;19;0;0;8.9;2.7;0;8.9;0;0
1;6;20;0;0;8.2;1.4;0;8.2;0;0
1;6;21;0;0;7.5;0;0;7.5;0;0
1;6;22;0;0;7;2;0;7;0;0
1;6;23;0;0;6.3;2.5;0;6.3;0;0
1;7;0;0;0;5.7;3.1;0;5.7;0;0
1;7;1;0;0;5.6;2.8;0;5.6;0;0
1;7;2;0;0;5.4;2.4;0;5.4;0;0
1;7;3;0;0;5.3;2.1;0;5.3;0;0
1;7;4;0;0;4;2;0;4;0;0
1;7;5;0;0;4;3;0;4;0;0
1;7;6;0;0;4.2;3.1;0;4.2;0;0
1;7;7;0;0;4;3;0;4;0;0
1;7;8;0;10;5;4.1;10;3.562;78.558;33.74
1;7;9;191;51;9.2;5.1;83.198;9.429;556.475;502.398
1;7;10;319;104;12;4.1;195.286;14.898;1364.87;1292.86
1;7;11;446;124;16;5.1;287.621;20.578;2015.454;1926.936
1;7;12;526;122;16.7;7.2;334.962;21.25;2358.881;2260.903
1;7;13;450;147;16;8.7;325.89;19.92;2316.751;2219.961
1;7;14;447;111;15;8.7;265.377;18.051;1856.709;1772.389
1;7;15;298;88;14;7.2;163.101;15.776;1115.853;1049.672
1;7;16;41;44;13;7.2;49.102;12.854;356.556;306.475
1;7;17;0;2;10;6.1;2;8.849;15.441;0
1;7;18;0;0;9.9;3.1;0;9.9;0;0
1;7;19;0;0;8;2;0;8;0;0
1;7;20;0;0;6;0;0;6;0;0
1;7;21;0;0;6.2;3.1;0;6.2;0;0
1;7;22;0;0;5;4.1;0;5;0;0
1;7;23;0;0;4;4.1;0;4;0;0
1;8;0;0;0;4.8;4.1;0;4.8;0;0
1;8;1;0;0;3;4.1;0;3;0;0
1;8;2;0;0;3.1;5.1;0;3.1;0;0
1;8;3;0;0;3.3;6.2;0;3.3;0;0
1;8;4;0;0;3;4.1;0;3;0;0
1;8;5;0;0;5;5.1;0;5;0;0
1;8;6;0;0;5.9;5.1;0;5.9;0;0
1;8;7;0;0;4;3;0;4;0;0
1;8;8;0;11;4;1;11;1.6;86.966;41.994
1;8;9;253;46;7.9;7.2;88.864;8.183;575.066;520.609
1;8;10;320;115;10;8.2;206.958;12.07;1467.099;1392.617
1;8;11;502;116;11;10.8;300.957;13.951;2148.227;2056.113
1;8;12;577;112;12.1;9.8;346.728;15.924;2480.095;2378.655
1;8;13;490;142;12;9.7;337.899;15.766;2431.844;2331.789
1;8;14;486;105;12;9.7;274.075;14.923;1932.157;1845.855
1;8;15;330;86;12;8.7;170.062;13.64;1165.246;1097.93
1;8;16;51;46;10;8.2;52.489;9.888;381.75;331.175
1;8;17;0;2;9;8.7;2;8.079;15.481;0
1;8;18;0;0;8.2;8.2;0;8.2;0;0
1;8;19;0;0;8;8.2;0;8;0;0
1;8;20;0;0;8;6.1;0;8;0;0
1;8;21;0;0;7.1;6.2;0;7.1;0;0
1;8;22;0;0;7.5;7.4;0;7.5;0;0
1;8;23;0;0;7.9;8.6;0;7.9;0;0
1;9;0;0;0;8.3;9.8;0;8.3;0;0
1;9;1;0;0;7.5;7.9;0;7.5;0;0
1;9;2;0;0;6.7;6;0;6.7;0;0
1;9;3;0;0;5.9;4.1;0;5.9;0;0
1;9;4;0;0;5;3;0;5;0;0
1;9;5;0;0;3;1;0;3;0;0
1;9;6;0;0;1.2;1;0;1.2;0;0
1;9;7;0;0;2;3;0;2;0;0
1;9;8;0;10;3;4.1;10;1.548;79.073;34.246
1;9;9;171;49;5.7;3.1;78.136;5.787;532.745;479.152
1;9;10;268;120;8;4.1;197.37;10.895;1418.251;1344.956
1;9;11;407;147;10;5.1;297.645;14.715;2143.99;2051.991
1;9;12;441;169;10.3;5.1;349.306;16.182;2529.762;2426.885
1;9;13;433;167;11;3;341.137;18.49;2448.037;2347.518
1;9;14;375;146;12;3;277.445;17.928;1970.683;1883.361
1;9;15;291;98;12.3;3.1;172.944;15.481;1195.427;1127.412
1;9;16;42;49;11;0;54.464;12.271;397.599;346.711
1;9;17;0;3;9;2;3;7.149;23.292;0
1;9;18;0;0;7.2;3.1;0;7.2;0;0
1;9;19;0;0;6;3;0;6;0;0
1;9;20;0;0;5;4.1;0;5;0;0
1;9;21;0;0;4.8;4.1;0;4.8;0;0
1;9;22;0;0;3.1;3.8;0;3.1;0;0
1;9;23;0;0;1.3;3.4;0;1.3;0;0
1;10;0;0;0;-0.4;3.1;0;-0.4;0;0
1;10;1;0;0;-1.1;3.1;0;-1.1;0;0
1;10;2;0;0;-1.8;3.1;0;-1.8;0;0
1;10;3;0;0;-2.5;3.1;0;-2.5;0;0
1;10;4;0;0;-2;2;0;-2;0;0
1;10;5;0;0;-2;4.1;0;-2;0;0
1;10;6;0;0;-1.6;3.1;0;-1.6;0;0
1;10;7;0;0;-2;1;0;-2;0;0
1;10;8;0;11;-3;2;11;-4.986;88.819;43.813
1;10;9;329;35;1.1;3.1;91.412;1.485;573.533;519.108
1;10;10;329;116;6;3;211.455;9.635;1511.384;1435.818
