"PVWatts: Monthly PV Performance Data"
"Requested Location:","toulouse"
"Location:","MONTPELLIER, FRANCE"
"Lat (deg N):","43.58"
"Lng (deg E):","3.97"
"Elev (m):","6"
"DC System Size (kW):","7.29"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","13"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"

"Month","AC System Output (kWh)","Solar Radiation (kWh/m^2/day)","Plane of Array Irradiance (W/m^2)","DC array Output (kWh)"
"1","416.65792847","2.23258495","69.21013641","438.20227051"
"2","476.77423096","2.81818962","78.90930939","500.21795654"
"3","837.03686523","4.51423645","139.94132996","874.50836182"
"4","915.1776123","5.20589447","156.17683411","956.48175049"
"5","1063.27587891","5.95281887","184.53738403","1110.86157227"
"6","1120.87963867","6.62406445","198.72193909","1170.48474121"
"7","1188.65612793","6.96127939","215.79966736","1240.98950195"
"8","1088.02075195","6.37228727","197.54090881","1135.62524414"
"9","810.09185791","4.77100801","143.13023376","846.93731689"
"10","592.07830811","3.27604508","101.55739594","620.41888428"
"11","401.84619141","2.25392103","67.61763","422.8678894"
"12","347.33059692","1.8778317","58.21278381","366.25210571"
"Total","9257.82598877","52.86016129","1611.35555267","9683.84759521"
